Decile,Food,NonFood,Total,Food_Share
1,16.42837613643005,21.838583094370644,38.266959230800694,42.93096829916659
2,24.71759465711353,38.193732023942474,62.911326681055996,39.28957782503186
3,27.360607040725977,48.316506527648045,75.67711356837401,36.154400915417796
4,30.846425985400064,59.0972684848349,89.94369447023496,34.29526234950029
5,34.003323386019474,69.74628690262928,103.74961028864875,32.77441070999355
6,35.985871683783074,80.92159512570375,116.90746680948682,30.78149981850679
7,40.376886434393725,91.9946338686948,132.37152030308852,30.502699026152712
8,43.76990808225839,114.58518816693518,158.35509624919356,27.640353306584085
9,49.25791779155789,143.44280122564086,192.70071901719876,25.561875452660644
10,63.12730999751582,229.62163076781363,292.74894076532945,21.563633956277684
